pair,session_name,session_start_utc,session_end_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
NZDUSD,london,2025-05-26T02:00:00.000000+0000,2025-05-26T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.177091,0.468,0.3588,3,basket_tp_pips,104,false,false,
EURJPY,new_york,2025-05-26T12:00:00.000000+0000,2025-05-26T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.4212,0.4212,3,basket_tp_pips,138,false,false,
GBPJPY,new_york,2025-05-26T12:00:00.000000+0000,2025-05-26T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.0,0.0,3,basket_tp_pips,22,false,false,
GBPUSD,new_york,2025-05-26T12:00:00.000000+0000,2025-05-26T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,2,0.02,0.0,0.0,0.0,2,daily_liquidation,531,false,false,
NZDUSD,new_york,2025-05-26T12:00:00.000000+0000,2025-05-26T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,-0.4056,1.4196,1.17,3,daily_liquidation,531,false,false,
EURJPY,asia,2025-05-26T22:00:00.000000+0000,2025-05-27T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.922909,0.5832,0.5292,3,basket_tp_pips,103,false,false,
GBPJPY,asia,2025-05-26T22:00:00.000000+0000,2025-05-27T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.922909,0.54,0.54,3,basket_tp_pips,48,false,false,
GBPUSD,asia,2025-05-26T22:00:00.000000+0000,2025-05-27T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,5,0.06368,4.514877,5.898672,5.446272,5,basket_tp_pips,227,false,false,
NZDUSD,asia,2025-05-26T22:00:00.000000+0000,2025-05-27T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.333091,0.5148,0.3432,3,basket_tp_pips,87,false,false,
EURJPY,london,2025-05-27T02:00:00.000000+0000,2025-05-27T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,4,0.0464,1.721591,1.3176,1.08,4,basket_tp_pips,101,false,false,
GBPJPY,london,2025-05-27T02:00:00.000000+0000,2025-05-27T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.1296,0.054,3,basket_tp_pips,55,false,false,
GBPUSD,london,2025-05-27T02:00:00.000000+0000,2025-05-27T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,5,0.06368,3.947037,8.596224,8.455824,5,basket_tp_pips,243,false,false,
NZDUSD,london,2025-05-27T02:00:00.000000+0000,2025-05-27T10:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.177091,1.0452,0.5304,3,basket_tp_pips,123,false,false,
EURJPY,new_york,2025-05-27T12:00:00.000000+0000,2025-05-27T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,4,0.0464,1.721591,2.432839,2.249239,4,basket_tp_pips,59,false,false,
GBPJPY,new_york,2025-05-27T12:00:00.000000+0000,2025-05-27T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,0.814909,0.4968,0.4968,3,basket_tp_pips,17,false,false,
GBPUSD,new_york,2025-05-27T12:00:00.000000+0000,2025-05-27T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.177091,1.4664,1.1076,3,basket_tp_pips,91,false,false,
NZDUSD,new_york,2025-05-27T12:00:00.000000+0000,2025-05-27T21:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,3,0.032,1.177091,0.936,0.936,3,basket_tp_pips,96,false,false,
EURJPY,asia,2025-05-27T22:00:00.000000+0000,2025-05-28T03:00:00.000000+0000,classic_consolidation_normal,config_template_override,medium,10000.0,5,0.06368,3.125684,3.456,3.456,5,basket_tp_pips,179,false,false,
