pair,session_name,session_start_utc,session_end_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed
NZDUSD,london,2025-07-16T02:00:00.000000+0000,2025-07-16T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.286,1.4443,0.8294,3,session_close,480
EURJPY,new_york,2025-07-16T12:00:00.000000+0000,2025-07-16T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,6,0.071051,-20.213709,19.405871,19.405871,6,basket_sl_pips,199
GBPJPY,new_york,2025-07-16T12:00:00.000000+0000,2025-07-16T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,5,0.05641,3.022799,5.543901,5.246901,5,basket_tp_pips,32
GBPUSD,new_york,2025-07-16T12:00:00.000000+0000,2025-07-16T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.382333,1.0582,1.0582,3,basket_tp_pips,31
NZDUSD,new_york,2025-07-16T12:00:00.000000+0000,2025-07-16T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,4,0.0431,2.836368,3.08594,2.84284,4,basket_tp_pips,184
EURJPY,asia,2025-07-16T22:00:00.000000+0000,2025-07-17T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.056,0.117417,0.0,3,basket_tp_pips,32
GBPJPY,asia,2025-07-16T22:00:00.000000+0000,2025-07-17T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.056,1.1187,1.1187,3,basket_tp_pips,82
GBPUSD,asia,2025-07-16T22:00:00.000000+0000,2025-07-17T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,4,0.0431,-2.12212,3.1174,2.9029,4,session_close,300
NZDUSD,asia,2025-07-16T22:00:00.000000+0000,2025-07-17T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.525333,0.715,0.286,3,basket_tp_pips,195
EURJPY,london,2025-07-17T02:00:00.000000+0000,2025-07-17T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.957,0.7128,0.5445,3,basket_tp_pips,158
GBPJPY,london,2025-07-17T02:00:00.000000+0000,2025-07-17T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.957,0.495,0.198,3,basket_tp_pips,45
GBPUSD,london,2025-07-17T02:00:00.000000+0000,2025-07-17T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.382333,1.573,1.0725,3,basket_tp_pips,233
NZDUSD,london,2025-07-17T02:00:00.000000+0000,2025-07-17T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.382333,1.859,1.6159,3,basket_tp_pips,193
EURJPY,new_york,2025-07-17T12:00:00.000000+0000,2025-07-17T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.957,1.2573,1.2474,3,basket_tp_pips,52
GBPJPY,new_york,2025-07-17T12:00:00.000000+0000,2025-07-17T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,4,0.0431,1.96364,0.3366,0.2376,4,basket_tp_pips,31
GBPUSD,new_york,2025-07-17T12:00:00.000000+0000,2025-07-17T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.382333,1.144,0.715,3,basket_tp_pips,81
NZDUSD,new_york,2025-07-17T12:00:00.000000+0000,2025-07-17T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,-1.144,2.002,1.3728,3,daily_liquidation,531
EURJPY,asia,2025-07-17T22:00:00.000000+0000,2025-07-18T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,6,0.071051,-7.000478,9.316306,8.930206,6,session_close,300
GBPJPY,asia,2025-07-17T22:00:00.000000+0000,2025-07-18T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.056,0.198,0.099,3,basket_tp_pips,78
GBPUSD,asia,2025-07-17T22:00:00.000000+0000,2025-07-18T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,4,0.0431,-1.25125,2.76276,2.21221,4,session_close,300
NZDUSD,asia,2025-07-17T22:00:00.000000+0000,2025-07-18T03:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,4,0.0431,-2.84284,3.7752,3.5035,4,session_close,300
EURJPY,london,2025-07-18T02:00:00.000000+0000,2025-07-18T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.957,0.5247,0.4455,3,basket_tp_pips,148
GBPJPY,london,2025-07-18T02:00:00.000000+0000,2025-07-18T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.957,0.8118,0.8118,3,basket_tp_pips,177
GBPUSD,london,2025-07-18T02:00:00.000000+0000,2025-07-18T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,1.382333,1.43,1.43,3,basket_tp_pips,293
NZDUSD,london,2025-07-18T02:00:00.000000+0000,2025-07-18T10:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,2,0.02,0.0,0.0,0.0,2,session_close,480
EURJPY,new_york,2025-07-18T12:00:00.000000+0000,2025-07-18T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.957,0.0792,0.0792,3,basket_tp_pips,263
GBPJPY,new_york,2025-07-18T12:00:00.000000+0000,2025-07-18T21:00:00.000000+0000,classic_consolidation_light,config_template_override,medium,10000.0,3,0.031,0.957,1.456571,1.298171,3,basket_tp_pips,95
