pair,session_name,session_start_utc,session_end_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed
NZDUSD,new_york,2025-01-06T13:00:00.000000+0000,2025-01-06T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.065278,0.5525,0.50375,3,basket_tp_pips,37
EURJPY,asia,2025-01-06T23:00:00.000000+0000,2025-01-07T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.85,0.225,0.225,3,basket_tp_pips,8
GBPJPY,asia,2025-01-06T23:00:00.000000+0000,2025-01-07T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.85,0.0,0.0,3,basket_tp_pips,2
GBPUSD,asia,2025-01-06T23:00:00.000000+0000,2025-01-07T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.227778,1.41375,0.8775,3,basket_tp_pips,172
NZDUSD,asia,2025-01-06T23:00:00.000000+0000,2025-01-07T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.227778,0.60125,0.27625,3,basket_tp_pips,159
EURJPY,london,2025-01-07T03:00:00.000000+0000,2025-01-07T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.61875,0.4275,3,basket_tp_pips,126
GBPJPY,london,2025-01-07T03:00:00.000000+0000,2025-01-07T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.1125,0.09,3,basket_tp_pips,9
GBPUSD,london,2025-01-07T03:00:00.000000+0000,2025-01-07T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,7,0.122588,7.257874,21.077529,21.077529,7,basket_tp_pips,315
NZDUSD,london,2025-01-07T03:00:00.000000+0000,2025-01-07T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,7,0.122588,-10.141648,19.579417,19.343792,7,session_close,420
EURJPY,new_york,2025-01-07T13:00:00.000000+0000,2025-01-07T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,4,0.048125,1.585605,1.456875,1.456875,4,basket_tp_pips,43
GBPJPY,new_york,2025-01-07T13:00:00.000000+0000,2025-01-07T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.0,0.0,3,basket_tp_pips,2
GBPUSD,new_york,2025-01-07T13:00:00.000000+0000,2025-01-07T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,4,0.048125,2.290318,3.420625,3.420625,4,basket_tp_pips,50
NZDUSD,new_york,2025-01-07T13:00:00.000000+0000,2025-01-07T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,7,0.122588,-11.075199,20.36475,19.87725,7,daily_liquidation,471
EURJPY,asia,2025-01-07T23:00:00.000000+0000,2025-01-08T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,4,0.048125,1.83873,2.671875,2.671875,4,basket_tp_pips,78
GBPJPY,asia,2025-01-07T23:00:00.000000+0000,2025-01-08T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,4,0.048125,1.83873,2.798437,2.798437,4,basket_tp_pips,13
GBPUSD,asia,2025-01-07T23:00:00.000000+0000,2025-01-08T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,-0.3575,0.7475,0.73125,3,session_close,240
NZDUSD,asia,2025-01-07T23:00:00.000000+0000,2025-01-08T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.227778,0.13,0.13,3,basket_tp_pips,91
EURJPY,london,2025-01-08T03:00:00.000000+0000,2025-01-08T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.0,0.0,3,basket_tp_pips,30
GBPJPY,london,2025-01-08T03:00:00.000000+0000,2025-01-08T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.5175,0.495,3,basket_tp_pips,34
GBPUSD,london,2025-01-08T03:00:00.000000+0000,2025-01-08T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.065278,0.91,0.30875,3,basket_tp_pips,148
NZDUSD,london,2025-01-08T03:00:00.000000+0000,2025-01-08T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.065278,0.455,0.325,3,basket_tp_pips,233
EURJPY,new_york,2025-01-08T13:00:00.000000+0000,2025-01-08T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.86625,0.86625,3,basket_tp_pips,11
GBPJPY,new_york,2025-01-08T13:00:00.000000+0000,2025-01-08T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.0,0.0,3,basket_tp_pips,2
GBPUSD,new_york,2025-01-08T13:00:00.000000+0000,2025-01-08T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,4,0.048125,2.290318,1.848438,1.848438,4,basket_tp_pips,6
NZDUSD,new_york,2025-01-08T13:00:00.000000+0000,2025-01-08T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.065278,0.6175,0.6175,3,basket_tp_pips,77
EURJPY,asia,2025-01-08T23:00:00.000000+0000,2025-01-09T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,6,0.09207,-3.891438,8.302122,8.302122,6,session_close,102
GBPJPY,asia,2025-01-08T23:00:00.000000+0000,2025-01-09T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.85,0.9,0.86625,3,basket_tp_pips,31
GBPUSD,asia,2025-01-08T23:00:00.000000+0000,2025-01-09T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.227778,1.21875,1.21875,3,basket_tp_pips,137
NZDUSD,asia,2025-01-08T23:00:00.000000+0000,2025-01-09T03:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.227778,1.1375,0.86125,3,basket_tp_pips,203
EURJPY,london,2025-01-09T03:00:00.000000+0000,2025-01-09T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,8,0.160735,6.577296,19.438254,19.438254,8,basket_tp_pips,111
GBPJPY,london,2025-01-09T03:00:00.000000+0000,2025-01-09T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,8,0.160735,-66.886374,64.023102,64.023102,8,basket_sl_pips,238
GBPUSD,london,2025-01-09T03:00:00.000000+0000,2025-01-09T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,8,0.160735,-96.613651,96.100219,95.953969,8,basket_sl_pips,272
NZDUSD,london,2025-01-09T03:00:00.000000+0000,2025-01-09T10:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,1.065278,0.585,0.53625,3,basket_tp_pips,139
EURJPY,new_york,2025-01-09T13:00:00.000000+0000,2025-01-09T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,3,0.0325,0.7375,0.225,0.10125,3,basket_tp_pips,8
GBPJPY,new_york,2025-01-09T13:00:00.000000+0000,2025-01-09T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,4,0.048125,1.585605,1.00125,1.00125,4,basket_tp_pips,8
GBPUSD,new_york,2025-01-09T13:00:00.000000+0000,2025-01-09T21:00:00.000000+0000,classic_consolidation_dense,config_template_override,medium,10000.0,5,0.067656,3.704649,7.77256,7.75631,5,basket_tp_pips,53
