pair,session_name,session_start_utc,session_end_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
GBPUSD,new_york,2025-02-22T13:00:00.000000+0000,2025-02-22T21:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,new_york,2025-02-22T13:00:00.000000+0000,2025-02-22T21:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,asia,2025-02-22T23:00:00.000000+0000,2025-02-23T03:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,asia,2025-02-22T23:00:00.000000+0000,2025-02-23T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,asia,2025-02-22T23:00:00.000000+0000,2025-02-23T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,asia,2025-02-22T23:00:00.000000+0000,2025-02-23T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,london,2025-02-23T03:00:00.000000+0000,2025-02-23T10:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,london,2025-02-23T03:00:00.000000+0000,2025-02-23T10:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,london,2025-02-23T03:00:00.000000+0000,2025-02-23T10:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,london,2025-02-23T03:00:00.000000+0000,2025-02-23T10:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,new_york,2025-02-23T13:00:00.000000+0000,2025-02-23T21:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPJPY,new_york,2025-02-23T13:00:00.000000+0000,2025-02-23T21:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
GBPUSD,new_york,2025-02-23T13:00:00.000000+0000,2025-02-23T21:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
NZDUSD,new_york,2025-02-23T13:00:00.000000+0000,2025-02-23T21:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,
EURJPY,asia,2025-02-23T23:00:00.000000+0000,2025-02-24T03:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,3,0.032,0.913091,0.2808,0.02185,3,basket_tp_pips,11,false,false,
GBPJPY,asia,2025-02-23T23:00:00.000000+0000,2025-02-24T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,4,0.204545,11.082309,15.466919,13.156995,4,basket_tp_pips,42,false,false,
GBPUSD,asia,2025-02-23T23:00:00.000000+0000,2025-02-24T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,6,0.326281,-51.680932,71.194765,69.625015,6,session_close,240,false,false,
NZDUSD,asia,2025-02-23T23:00:00.000000+0000,2025-02-24T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,1,0.05,1.95,6.305,6.305,1,basket_tp_pips,147,false,false,
EURJPY,london,2025-02-24T03:00:00.000000+0000,2025-02-24T10:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,3,0.032,0.913091,0.54,0.2916,3,basket_tp_pips,24,false,false,
GBPJPY,london,2025-02-24T03:00:00.000000+0000,2025-02-24T10:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.1515,5.500352,3.2445,2.82735,3,basket_tp_pips,83,false,false,
GBPUSD,london,2025-02-24T03:00:00.000000+0000,2025-02-24T10:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,6,0.326281,-47.268452,87.562195,84.627445,6,session_close,420,false,false,
NZDUSD,london,2025-02-24T03:00:00.000000+0000,2025-02-24T10:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,1,0.05,1.95,0.195,0.195,1,basket_tp_pips,2,false,false,
EURJPY,new_york,2025-02-24T13:00:00.000000+0000,2025-02-24T21:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,3,0.032,0.913091,0.3024,0.3024,3,basket_tp_pips,27,false,false,
GBPJPY,new_york,2025-02-24T13:00:00.000000+0000,2025-02-24T21:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.1515,5.500352,0.04635,0.04635,3,basket_tp_pips,24,false,false,
GBPUSD,new_york,2025-02-24T13:00:00.000000+0000,2025-02-24T21:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,3,0.1525,6.042622,0.6825,0.6825,3,basket_tp_pips,44,false,false,
